W W 7.507349937761649
W C5 4.267842535763494
W C4 4.034444897088928
W C3 4.034444897088928
W C2 3.834389778225014
W C1 3.32583674662129
W X2 4.267842535763494
W Q5 10.569578779976778
W Q4 9.936070903574384
W Q3 9.48594688613058
W Q2 9.085836648402752
W Q1 8.702397670580249
C5 C5 5.473100277206879
C5 C4 5.473100277206879
C5 C3 5.230927698569407
C5 C2 4.95646544278027
C5 C1 4.95646544278027
C5 X2 5.230927698569407
C5 Q5 4.702991477139716
C5 Q4 5.292278085157567
C5 Q3 5.771779790859762
C5 Q2 6.0995200139491415
C5 Q1 6.399814011459608
C4 C4 5.473100277206879
C4 C3 5.473100277206879
C4 C2 5.230927698569407
C4 C1 4.95646544278027
C4 X2 5.230927698569407
C4 Q5 3.878876854435779
C4 Q4 4.932248184916524
C4 Q3 5.516691341361624
C4 Q2 5.754020468426347
C4 Q1 6.096291046233975
C3 C3 5.473100277206879
C3 C2 5.473100277206879
C3 C1 5.473100277206879
C3 X2 5.230927698569407
C3 Q5 2.863454278740502
C3 Q4 4.499566511084239
C3 Q3 5.1114558931082525
C3 Q2 5.460184406346214
C3 Q1 5.721730791274685
C2 C2 5.473100277206879
C2 C1 5.682983178692689
C2 X2 5.230927698569407
C2 Q5 1.5022889082187032
C2 Q4 2.017496464605637
C2 Q3 2.863454278740502
C2 Q2 2.919483567292044
C2 Q1 3.895038841329261
C1 C1 5.473100277206879
C1 X2 5.230927698569407
C1 Q5 1.4389902182656678
C1 Q4 1.9396567625167693
C1 Q3 2.759740489294031
C1 Q2 2.825306678024559
C1 Q1 3.7877820192179685
X2 X2 5.682983178692689
X2 Q5 4.950007507349937
X2 Q4 5.253530472575571
X2 Q3 5.56028240551637
X2 Q2 5.792768081008343
X2 Q1 6.130195207243221
Q5 Q5 10.41342088141132
Q5 Q4 10.009799917015531
Q5 Q3 9.202557988223955
Q5 Q2 7.184453166245019
Q5 Q1 6.11889382024014
Q4 Q4 9.606178952619745
Q4 Q3 8.79893702382817
Q4 Q2 7.184453166245019
Q4 Q1 6.11889382024014
Q3 Q3 8.79893702382817
Q3 Q2 7.588074130640807
Q3 Q1 6.11889382024014
Q2 Q2 7.588074130640807
Q2 Q1 6.4256457531809374
Q1 Q1 6.4256457531809374
