W W 3.003847888233246
W C5 0.8644009417765965
W C4 0.4779597950211416
W C3 0.4779597950211416
W C2 0.19828626489243756
W C1 0.01
W X2 0.8644009417765965
W Q5 14.693768784709444
W Q4 14.321782403115906
W Q3 13.873000145359834
W Q2 13.401559851667027
W Q1 13.005850962059137
C5 C5 1.5715482014726265
C5 C4 1.5715482014726265
C5 C3 1.1031426570184992
C5 C2 0.6367533506222818
C5 C1 0.6367533506222818
C5 X2 1.1031426570184992
C5 Q5 2.2945374320473246
C5 Q4 4.073022286165531
C5 Q3 6.919577448728327
C5 Q2 8.889640674502463
C5 Q1 9.962186629504835
C4 C4 1.5715482014726265
C4 C3 1.5715482014726265
C4 C2 1.1031426570184992
C4 C1 0.6367533506222818
C4 X2 1.1031426570184992
C4 Q5 1.8031212769967067
C4 Q4 2.649386724851876
C4 Q3 5.319723292584395
C4 Q2 7.071017643223199
C4 Q1 9.057562207306114
C3 C3 1.5715482014726265
C3 C2 1.5715482014726265
C3 C1 1.5715482014726265
C3 X2 1.1031426570184992
C3 Q5 0.601380274688769
C3 Q4 1.7462187994181773
C3 Q3 3.6309563786583565
C3 Q2 5.253330561322171
C3 Q1 6.998949906397593
C2 C2 1.5715482014726265
C2 C1 2.0803419925414888
C2 X2 1.1031426570184992
C2 Q5 0.14528128575491372
C2 Q4 0.37808655270361724
C2 Q3 0.9236858260707478
C2 Q2 1.170483453418664
C2 Q1 2.528880704764021
C1 C1 1.5715482014726265
C1 X2 1.1031426570184992
C1 Q5 0.01
C1 Q4 0.15118765547561974
C1 Q3 0.6236046284869171
C1 Q2 0.9093329133429688
C1 Q1 2.1353235644232997
X2 X2 2.0803419925414888
X2 Q5 2.4884439910792806
X2 Q4 3.8749160979220814
X2 Q3 5.571146110832295
X2 Q2 7.317980051809842
X2 Q1 9.301677299497149
Q5 Q5 0.01
Q5 Q4 0.01
Q5 Q3 0.01
Q5 Q2 0.01
Q5 Q1 0.01
Q4 Q4 0.01
Q4 Q3 0.01
Q4 Q2 0.01
Q4 Q1 0.01
Q3 Q3 0.01
Q3 Q2 0.01
Q3 Q1 0.01
Q2 Q2 0.01
Q2 Q1 0.01
Q1 Q1 0.01
